face_id,slab_id,phase,facet_label,termination_id,side,surface_area_A2,surface_species_fingerprint,outermost_species,face_composition,undercoord_Zn,undercoord_In,undercoord_S,formal_surface_charge_diagnostic,polarity_screen,equivalent_to_face_id,reaction_face_candidate,notes
beta_001_t07_upper,beta_001_t07,beta,(001),t07,upper,13.025965219827203,"[{""coordination"": [[""S"", 3]], ""depth_A"": 0.0, ""species"": {""S"": 1}}, {""coordination"": [[""Zn"", 4]], ""depth_A"": 0.55433, ""species"": {""Zn"": 1}}, {""coordination"": [[""S"", 4]], ""depth_A"": 3.09161, ""species"": {""S"": 1}}]","{""S"": 1}","{""S"": 2, ""Zn"": 1}",0,0,0,-2,HIGH_CONCERN,,HOLD,Distinct side identity retained; reaction suitability untested. Face charge uses outer 3.6 A.
beta_001_t07_lower,beta_001_t07,beta,(001),t07,lower,13.025965219827203,"[{""coordination"": [[""S"", 3]], ""depth_A"": 0.0, ""species"": {""S"": 1}}, {""coordination"": [[""In"", 4]], ""depth_A"": 1.08678, ""species"": {""In"": 1}}, {""coordination"": [[""S"", 4]], ""depth_A"": 3.53772, ""species"": {""S"": 1}}]","{""S"": 1}","{""In"": 1, ""S"": 2}",0,0,0,-1,HIGH_CONCERN,,HOLD,Distinct side identity retained; reaction suitability untested. Face charge uses outer 3.6 A.
beta_100_t01_upper,beta_100_t01,beta,(100),t01,upper,47.1150773975481,"[{""coordination"": [[""S"", 1], [""S"", 3], [""Zn"", 3]], ""depth_A"": 0.0, ""species"": {""S"": 2, ""Zn"": 1}}, {""coordination"": [[""In"", 5], [""S"", 3]], ""depth_A"": 1.11956, ""species"": {""In"": 1, ""S"": 1}}, {""coordination"": [[""In"", 4], [""S"", 4]], ""depth_A"": 2.23913, ""species"": {""In"": 1, ""S"": 1}}, {""coordination"": [[""S"", 3], [""S"", 4], [""Zn"", 4]], ""depth_A"": 3.35869, ""species"": {""S"": 2, ""Zn"": 1}}]","{""S"": 2, ""Zn"": 1}","{""In"": 2, ""S"": 6, ""Zn"": 2}",1,1,2,-2,HIGH_CONCERN,,HOLD,Distinct side identity retained; reaction suitability untested. Face charge uses outer 3.6 A.
beta_100_t01_lower,beta_100_t01,beta,(100),t01,lower,47.1150773975481,"[{""coordination"": [[""In"", 2], [""S"", 3]], ""depth_A"": 0.0, ""species"": {""In"": 1, ""S"": 1}}, {""coordination"": [[""In"", 5], [""S"", 2]], ""depth_A"": 1.11956, ""species"": {""In"": 1, ""S"": 1}}, {""coordination"": [[""S"", 3], [""S"", 4], [""Zn"", 4]], ""depth_A"": 2.23913, ""species"": {""S"": 2, ""Zn"": 1}}, {""coordination"": [[""In"", 4], [""S"", 4]], ""depth_A"": 3.35869, ""species"": {""In"": 1, ""S"": 1}}]","{""In"": 1, ""S"": 1}","{""In"": 3, ""S"": 5, ""Zn"": 1}",0,2,2,1,HIGH_CONCERN,,HOLD,Distinct side identity retained; reaction suitability untested. Face charge uses outer 3.6 A.
beta_100_t02_upper,beta_100_t02,beta,(100),t02,upper,47.1150773975481,"[{""coordination"": [[""In"", 3], [""S"", 2]], ""depth_A"": 0.0, ""species"": {""In"": 1, ""S"": 1}}, {""coordination"": [[""S"", 3], [""S"", 3], [""Zn"", 3]], ""depth_A"": 1.11956, ""species"": {""S"": 2, ""Zn"": 1}}, {""coordination"": [[""In"", 6], [""S"", 3]], ""depth_A"": 2.23913, ""species"": {""In"": 1, ""S"": 1}}, {""coordination"": [[""In"", 4], [""S"", 4]], ""depth_A"": 3.35869, ""species"": {""In"": 1, ""S"": 1}}]","{""In"": 1, ""S"": 1}","{""In"": 3, ""S"": 5, ""Zn"": 1}",1,1,2,1,WARNING,,PROVISIONAL,Distinct side identity retained; reaction suitability untested. Face charge uses outer 3.6 A.
beta_100_t02_lower,beta_100_t02,beta,(100),t02,lower,47.1150773975481,"[{""coordination"": [[""In"", 3], [""S"", 2]], ""depth_A"": 0.0, ""species"": {""In"": 1, ""S"": 1}}, {""coordination"": [[""S"", 2], [""S"", 4], [""Zn"", 4]], ""depth_A"": 1.11956, ""species"": {""S"": 2, ""Zn"": 1}}, {""coordination"": [[""In"", 4], [""S"", 4]], ""depth_A"": 2.23913, ""species"": {""In"": 1, ""S"": 1}}, {""coordination"": [[""In"", 6], [""S"", 3]], ""depth_A"": 3.35869, ""species"": {""In"": 1, ""S"": 1}}]","{""In"": 1, ""S"": 1}","{""In"": 3, ""S"": 5, ""Zn"": 1}",0,1,2,1,WARNING,,PROVISIONAL,Distinct side identity retained; reaction suitability untested. Face charge uses outer 3.6 A.
beta_100_t03_upper,beta_100_t03,beta,(100),t03,upper,47.1150773975481,"[{""coordination"": [[""In"", 3], [""S"", 1]], ""depth_A"": 0.0, ""species"": {""In"": 1, ""S"": 1}}, {""coordination"": [[""In"", 3], [""S"", 4]], ""depth_A"": 1.11956, ""species"": {""In"": 1, ""S"": 1}}, {""coordination"": [[""S"", 3], [""S"", 4], [""Zn"", 4]], ""depth_A"": 2.23913, ""species"": {""S"": 2, ""Zn"": 1}}, {""coordination"": [[""In"", 6], [""S"", 3]], ""depth_A"": 3.35869, ""species"": {""In"": 1, ""S"": 1}}]","{""In"": 1, ""S"": 1}","{""In"": 3, ""S"": 5, ""Zn"": 1}",0,2,1,1,HIGH_CONCERN,,HOLD,Distinct side identity retained; reaction suitability untested. Face charge uses outer 3.6 A.
beta_100_t03_lower,beta_100_t03,beta,(100),t03,lower,47.1150773975481,"[{""coordination"": [[""S"", 2], [""S"", 2], [""Zn"", 2]], ""depth_A"": 0.0, ""species"": {""S"": 2, ""Zn"": 1}}, {""coordination"": [[""In"", 4], [""S"", 3]], ""depth_A"": 1.11956, ""species"": {""In"": 1, ""S"": 1}}, {""coordination"": [[""In"", 6], [""S"", 3]], ""depth_A"": 2.23913, ""species"": {""In"": 1, ""S"": 1}}, {""coordination"": [[""S"", 3], [""S"", 4], [""Zn"", 4]], ""depth_A"": 3.35869, ""species"": {""S"": 2, ""Zn"": 1}}]","{""S"": 2, ""Zn"": 1}","{""In"": 2, ""S"": 6, ""Zn"": 2}",1,0,3,-2,HIGH_CONCERN,,HOLD,Distinct side identity retained; reaction suitability untested. Face charge uses outer 3.6 A.
beta_110_t01_upper,beta_110_t01,beta,(110),t01,upper,81.60570785449093,"[{""coordination"": [[""In"", 3], [""In"", 4], [""S"", 2], [""S"", 2], [""S"", 3], [""S"", 3], [""Zn"", 3]], ""depth_A"": 0.0, ""species"": {""In"": 2, ""S"": 4, ""Zn"": 1}}, {""coordination"": [[""In"", 4], [""In"", 6], [""S"", 3], [""S"", 3], [""S"", 4], [""S"", 4], [""Zn"", 4]], ""depth_A"": 1.93914, ""species"": {""In"": 2, ""S"": 4, ""Zn"": 1}}]","{""In"": 2, ""S"": 4, ""Zn"": 1}","{""In"": 4, ""S"": 8, ""Zn"": 2}",1,2,4,0,LOW_CONCERN,,PROVISIONAL,Distinct side identity retained; reaction suitability untested. Face charge uses outer 3.6 A.
beta_110_t01_lower,beta_110_t01,beta,(110),t01,lower,81.60570785449093,"[{""coordination"": [[""In"", 3], [""In"", 4], [""S"", 2], [""S"", 2], [""S"", 3], [""S"", 3], [""Zn"", 3]], ""depth_A"": 0.0, ""species"": {""In"": 2, ""S"": 4, ""Zn"": 1}}, {""coordination"": [[""In"", 4], [""In"", 6], [""S"", 3], [""S"", 3], [""S"", 4], [""S"", 4], [""Zn"", 4]], ""depth_A"": 1.93914, ""species"": {""In"": 2, ""S"": 4, ""Zn"": 1}}]","{""In"": 2, ""S"": 4, ""Zn"": 1}","{""In"": 4, ""S"": 8, ""Zn"": 2}",1,2,4,0,LOW_CONCERN,beta_110_t01_upper,PROVISIONAL,Distinct side identity retained; reaction suitability untested. Face charge uses outer 3.6 A.
IIb_001_t07_upper,IIb_001_t07,IIb,(001),t07,upper,13.059992968290018,"[{""coordination"": [[""S"", 3]], ""depth_A"": 0.0, ""species"": {""S"": 1}}, {""coordination"": [[""Zn"", 4]], ""depth_A"": 0.54544, ""species"": {""Zn"": 1}}, {""coordination"": [[""S"", 4]], ""depth_A"": 3.08674, ""species"": {""S"": 1}}]","{""S"": 1}","{""S"": 2, ""Zn"": 1}",0,0,0,-2,HIGH_CONCERN,,HOLD,Distinct side identity retained; reaction suitability untested. Face charge uses outer 3.6 A.
