pilot,z_A,lvhar_potential_eV,mean_electron_density_e_per_A3
A0,0.0,4.2767672702525825,2.2586978216386834e-07
A0,0.06810152314814816,4.265615970203188,2.3579282740220481e-07
A0,0.13620304629629632,4.2545104000753815,2.455869600844899e-07
A0,0.20430456944444444,4.243358648127614,2.5521270800105154e-07
A0,0.27240609259259263,4.232252689279815,2.647850069131767e-07
A0,0.34050761574074073,4.221100472823756,2.743635006614338e-07
A0,0.4086091388888889,4.2099940616045926,2.83988260466983e-07
A0,0.47671066203703705,4.198841348596205,2.9379498156818023e-07
A0,0.5448121851851853,4.1877344488003825,3.0387026779285354e-07
A0,0.6129137083333334,4.176581236694196,3.140811956867382e-07
A0,0.6810152314814815,4.165473786578158,3.242520836282769e-07
A0,0.7491167546296297,4.1543200721534435,3.344197367315496e-07
A0,0.8172182777777778,4.143212061328477,3.447144238443752e-07
A0,0.885319800925926,4.132057821246938,3.5510519514913793e-07
A0,0.9534213240740741,4.120949166229401,3.6551153348546756e-07
A0,1.0215228472222224,4.109794378570728,3.760686630979934e-07
A0,1.0896243703703705,4.098685041634247,3.869862311606937e-07
A0,1.1577258935185186,4.0875296621048465,3.9818278478857356e-07
A0,1.2258274166666667,4.076419542319707,4.0935453367447834e-07
A0,1.2939289398148148,4.065263579338201,4.2040341922383284e-07
A0,1.362030462962963,4.054152681592473,4.3150912275140337e-07
A0,1.4301319861111113,4.04299611809053,4.4276472798516435e-07
A0,1.4982335092592594,4.03188438496486,4.5405326928351825e-07
A0,1.5663350324074075,4.020727207032492,4.653474680180875e-07
A0,1.6344365555555556,4.009614554649363,4.768127837288064e-07
A0,1.7025380787037037,3.998456706345472,4.884787317326836e-07
A0,1.770639601851852,3.987343070960332,5.000813762451275e-07
A0,1.838741125,3.9761845473252238,5.113984894195375e-07
A0,1.9068426481481482,3.9650698986572372,5.225158138517155e-07
A0,1.9749441712962963,3.9539106816457896,5.335984558445855e-07
A0,2.043045694444445,3.9427949470569845,5.446162062692511e-07
A0,2.1111472175925927,3.9316350346367974,5.554810640127289e-07
A0,2.179248740740741,3.920518165411766,5.662520920908429e-07
A0,2.247350263888889,3.9093575013258923,5.769724418652632e-07
A0,2.3154517870370372,3.898239411411034,5.874468001155884e-07
A0,2.3835533101851856,3.887078000043814,5.974121224450308e-07
A0,2.4516548333333334,3.8759586601800367,6.068405172813087e-07
A0,2.5197563564814818,3.8647965035919944,6.158815415069023e-07
A0,2.5878578796296297,3.853675869597034,6.245964492904575e-07
A0,2.655959402777778,3.8425129856486935,6.329407856825009e-07
A0,2.724060925925926,3.831390991564349,6.40917735150731e-07
A0,2.7921624490740737,3.8202273246141893,6.485247280434932e-07
A0,2.8602639722222225,3.809103916255581,6.555858406961969e-07
A0,2.928365495370371,3.797939486181439,6.618454777800642e-07
A0,2.9964670185185187,3.7868146190781578,6.672389632960061e-07
A0,3.064568541666667,3.775649445851914,6.719263147489329e-07
A0,3.132670064814815,3.764523088184184,6.760740893500546e-07
A0,3.2007715879629632,3.753357180873088,6.797360946962143e-07
A0,3.268873111111111,3.742229258571875,6.829045961690105e-07
A0,3.3369746342592594,3.7310626015129786,6.855054337380329e-07
A0,3.4050761574074073,3.7199330664683345,6.873434733463382e-07
A0,3.473177680555556,3.7087657013866093,6.882159235576561e-07
A0,3.541279203703704,3.6976345610256054,6.881287824297619e-07
A0,3.6093807268518523,3.686466550366996,6.87327284946877e-07
A0,3.67748225,3.675333746593686,6.861306859301209e-07
A0,3.7455837731481485,3.6641650883174113,6.84807721458025e-07
A0,3.8136852962962964,3.653030573165179,6.835206846611652e-07
A0,3.8817868194444447,3.6418613189669635,6.822196582901178e-07
A0,3.9498883425925926,3.6307250698970335,6.806293273424233e-07
A0,4.0179898657407405,3.6195552819754466,6.785468354994396e-07
A0,4.08609138888889,3.608417259559981,6.762293322322928e-07
A0,4.154192912037037,3.5972469825264044,6.744216401670108e-07
A0,4.222294435185185,3.586107141681984,6.740300426337555e-07
A0,4.290395958333334,3.5749364011755103,6.758476564299112e-07
A0,4.358497481481482,3.5637947165034767,6.804598979635463e-07
A0,4.4265990046296295,3.552623609371014,6.881448774311015e-07
A0,4.494700527777778,3.541480023496333,6.98871183080472e-07
A0,4.562802050925926,3.530308835993304,7.127459608155965e-07
A0,4.6309035740740745,3.5191634780046557,7.307700907870329e-07
A0,4.699005097222223,3.5079919549876273,7.551906346930064e-07
A0,4.767106620370371,3.4968444364287317,7.890717535975618e-07
A0,4.835208143518519,3.485672576402105,8.354956115581075e-07
A0,4.903309666666667,3.4745227384620856,8.969854143411989e-07
A0,4.971411189814814,3.463350476873565,9.753788437900738e-07
A0,5.0395127129629635,3.4521981778897,1.0722581866976335e-06
A0,5.107614236111112,3.4410254919144765,1.1900841511618124e-06
A0,5.175715759259259,3.4298702030423143,1.3337304788958685e-06
A0,5.243817282407408,3.4186966124794322,1.5114562436843874e-06
A0,5.311918805555556,3.407537724566773,1.7344778337206993e-06
A0,5.380020328703704,3.396362744208993,2.0153174968114626e-06
A0,5.448121851851852,3.385199430825254,2.3660464245920906e-06
A0,5.516223375,3.374022239539987,2.7977362632596023e-06
A0,5.5843248981481475,3.362853153367826,3.321996125492469e-06
