pilot,ionic_step,energy_e0_eV,free_energy_eV,max_force_eV_per_A,scf_iterations,max_displacement_from_previous_geometry_A
A2,1,-28.21684149,-28.21847077,0.5290504100025754,20,0.0
A2,2,-28.24541635,-28.24666086,0.3388535003074663,11,0.025522609593127722
A2,3,-28.24825674,-28.24921513,0.3374791600889385,8,0.009957445209831684
A2,4,-28.26039821,-28.26104344,0.25477801000095707,8,0.023127244753948346
A2,5,-28.26902124,-28.26957464,0.212393670014189,11,0.03960766093838225
A2,6,-28.27509931,-28.27557315,0.09257734001102862,11,0.020654211460299655
A2,7,-28.2764698,-28.27686887,0.07635535003329826,7,0.01531362459993894
A2,8,-28.2777421,-28.27807762,0.04483395004019275,7,0.012289557411614577
A2,9,-28.27807903,-28.27837894,0.05821116010781867,6,0.008758291817709662
A2,10,-28.27868055,-28.27896442,0.0421723207860369,7,0.008287574131897032
A2,11,-28.27875434,-28.27903682,0.07070670008286979,4,0.004119074378836933
A2,12,-28.27912586,-28.27940836,0.05650001009486813,5,0.0050405043518807055
A2,13,-28.27966456,-28.27994708,0.04841877003856872,7,0.015121807245466787
A2,14,-28.28001182,-28.28029475,0.04192922005480188,5,0.003603344331861061
A2,15,-28.28034267,-28.28062836,0.040162170018809985,6,0.008179897601315626
A2,16,-28.28055915,-28.28084323,0.021398120066043184,6,0.005683328253072938
A2,17,-28.2805811,-28.28086467,0.038541400048204014,4,0.0023627088284443407
A2,18,-28.28071082,-28.28099686,0.019831560223928426,6,0.005312638067898293
B1,1,-107.63692159,-107.64694529,2.0424328872224007,41,0.0
B1,2,-108.2351975,-108.24580278,1.7204620665571446,30,0.09853243573941536
B1,3,-108.38125719,-108.39304493,1.6792541474562188,31,0.07349357378987412
B1,4,-108.78045639,-108.79223745,1.0572065229162788,18,0.14601435423548795
B1,5,-108.93414135,-108.94627671,1.1708190607548719,21,0.16233201625654803
B1,6,-109.19064828,-109.20338315,0.5915542929901744,30,0.13975316241801275
B1,7,-109.24002989,-109.25321719,0.7637266000117966,29,0.09184215808460264
B1,8,-109.38359517,-109.39686957,0.5574987134138271,21,0.07384362887477672
B1,9,-109.41227345,-109.42562271,0.5793680417243225,26,0.049840294988369456
B1,10,-109.49045211,-109.5040396,0.2769130201896756,16,0.06322097251589222
B1,11,-109.49678983,-109.51042919,0.3236840060457402,12,0.022653470120163343
B1,12,-109.53721853,-109.55109771,0.25494554019630017,20,0.031139685743033763
B1,13,-109.54559762,-109.55958579,0.31742117465382097,17,0.02105589344152114
B1,14,-109.5733667,-109.58732348,0.23375972278946325,18,0.03256378071505933
B1,15,-109.57876285,-109.59267573,0.4391917147686241,17,0.021199453851291798
B1,16,-109.60282594,-109.61662212,0.2604955106694711,16,0.021486958863351138
B1,17,-109.62252052,-109.63604975,0.27064876558325146,18,0.04381675575698862
B1,18,-109.64635675,-109.65980738,0.1562860989543232,20,0.02721323424705447
B1,19,-109.65331674,-109.66670298,0.18576808723195948,15,0.02496311879369041
B1,20,-109.66688987,-109.68019667,0.13897678603089653,29,0.018891803274357723
B1,21,-109.67355852,-109.68675726,0.1664354836159171,13,0.020285044173212287
B1,22,-109.67399751,-109.6871716,0.17975306591976922,17,0.006327025344851257
B1,23,-109.68620499,-109.69936479,0.11069517631682241,19,0.025563426981765263
B1,24,-109.68864118,-109.70179237,0.21089773834960132,18,0.017652708789685445
B1,25,-109.69861601,-109.71178856,0.15306934134514624,19,0.020120314878495693
B1,26,-109.70031841,-109.71346687,0.322086493837146,15,0.011824300778629837
B1,27,-109.70922419,-109.72239964,0.1578272528645145,22,0.018606996336960804
B1,28,-109.71425844,-109.72743973,0.136557319215235,17,0.025036169381105977
B1,29,-109.72116801,-109.73422343,0.0913077711897788,19,0.01219953454399048
B1,30,-109.72708795,-109.73988628,0.11929312791308894,19,0.02109185291611792
B1,31,-109.73556501,-109.74820973,0.07258878982499226,13,0.01622214777172739
B1,32,-109.74297031,-109.75546077,0.14141409186564965,13,0.028032492363344826
B1,33,-109.75138255,-109.76341326,0.10297476574203895,14,0.02022041328620522
B1,34,-109.75686308,-109.76846912,0.24320685942728035,14,0.030510685410391307
B1,35,-109.76218061,-109.77364382,0.14150680136987834,20,0.015292767975765825
B1,36,-109.76841455,-109.77959384,0.15147389872501632,22,0.03265197816230782
B1,37,-109.76897274,-109.78006389,0.17513515693080386,16,0.012097905496219315
B1,38,-109.77670714,-109.78763107,0.1326250408391952,20,0.023510217782407385
B1,39,-109.78642253,-109.79633056,0.19133131387475572,22,0.06386393681246803
B1,40,-109.79976297,-109.8087198,0.14737518598494592,14,0.03861759619868311
B1,41,-109.8145818,-109.82165131,0.24715223759478508,16,0.06233038376764024
B1,42,-109.81301277,-109.81599742,0.5071189769490932,23,0.12466116341436433
B1,43,-109.81945485,-109.82500331,0.33102356550247736,25,0.08207959710650992
B1,44,-109.83203289,-109.83642146,0.34096252564976415,12,0.02978234827052773
B1,45,-109.86396473,-109.86608835,0.38839991516768085,23,0.08934728087242971
B1,46,-109.8839982,-109.88452706,0.5304552544067591,28,0.17869398213104218
B1,47,-109.88557172,-109.88658708,0.4756017416764499,16,0.05066873733273156
B1,48,-109.91651153,-109.91681385,0.45566498527136073,24,0.0568848675041655
B1,49,-109.98786633,-109.9878669,1.0802660263085035,27,0.17065432088049257
B1,50,-108.72923741,-108.72958359,9.463438155475005,25,0.3413085821889074
B1,51,-109.99073072,-109.99073107,1.119806437121321,26,0.3331522921742015
B1,52,-109.91873774,-109.91885202,1.7500887671536516,25,0.16657631668911516
B1,53,-109.99801135,-109.9980114,1.2313090137936586,25,0.1438536780036827
B1,54,-110.00119716,-110.00120485,1.5486573208109675,20,0.07192680921585878
B1,55,-110.00487657,-110.00487683,1.38540226489052,21,0.03944124433896684
B1,56,-110.02820915,-110.02821179,1.4949930416046686,19,0.03903667802596242
B1,57,-110.03518674,-110.03519323,1.5561527216495967,19,0.03127573970201696
B1,58,-110.0686302,-110.06863208,1.5108611504654943,8,0.011433756201125113
B1,59,-110.15375227,-110.15375229,1.370403955725262,19,0.03430126860337622
B1,60,-110.24987769,-110.24987769,1.1750170683601004,21,0.06860213589310696
B1,61,-110.25871684,-110.25871684,1.4380502820592636,19,0.029327063914051488
B1,62,-110.35838044,-110.35838044,0.9339139535610887,17,0.04244463098019303
B1,63,-110.48650827,-110.48650827,0.7157051712274566,21,0.1273341353044174
B1,64,-110.54895961,-110.54895961,0.6383943614965419,18,0.034694585515764445
B1,65,-110.63611213,-110.63611213,0.9275475003231001,21,0.10408429019731338
B1,66,-110.69375882,-110.69375882,0.5413460224986261,16,0.03898017481031162
B1,67,-110.76365901,-110.76365901,0.737541917090138,20,0.11423499499678172
B1,68,-110.83581341,-110.83581341,0.6917341258482501,20,0.053039122605427216
B1,69,-110.89401162,-110.89401162,1.0102130536116625,22,0.11065796760243415
B1,70,-111.00467846,-111.00467846,0.8515541958451679,20,0.053370513992321816
B1,71,-111.10986499,-111.10986499,1.5224150885893268,23,0.1347398699566183
B1,72,-111.17048547,-111.17048547,1.26618838348538,15,0.03380483721203213
B1,73,-111.26721147,-111.26721147,0.5785853959599715,20,0.10141480704877838
B1,74,-111.26851196,-111.26851196,0.5147513564377945,8,0.015815054793338564
B1,75,-111.31546224,-111.31546224,0.4158054996328392,18,0.01065699211853555
B1,76,-111.36272261,-111.36272261,0.3315998877630452,20,0.02553730871010033
B1,77,-111.38341405,-111.38341405,0.2446251619606834,8,0.010341924717583885
B1,78,-111.40851775,-111.40851775,0.32998985293469274,19,0.029774930289564808
B1,79,-111.42814604,-111.42814604,0.23558459757906947,8,0.01372897576120026
B1,80,-111.44876189,-111.44876189,0.24551825659771007,19,0.0340127377083541
B1,81,-111.46957107,-111.46957107,0.15194631089341723,13,0.021741776097888316
B1,82,-111.47483843,-111.47483843,0.19102700905701947,13,0.01762857427562101
B1,83,-111.49007306,-111.49007306,0.169085751468061,18,0.019892639668357994
B1,84,-111.5029847,-111.5029847,0.24734283415834243,20,0.041350057249538864
B1,85,-111.51537806,-111.51537806,0.1977094297182279,16,0.018001591264018315
B1,86,-111.53245816,-111.53245816,0.19777608095348284,20,0.0540042494277671
B1,87,-111.5428174,-111.5428174,0.11376233308761911,12,0.016914207319574163
B1,88,-111.54593741,-111.54593741,0.12716659984777687,12,0.014701767774183517
B1,89,-111.55253678,-111.55253678,0.09580971619953428,8,0.014227704093949982
B1,90,-111.555533,-111.555533,0.08741235340548498,8,0.015395197802218492
B1,91,-111.5598332,-111.5598332,0.06147812018375155,8,0.012806420388245346
B1,92,-111.56066155,-111.56066155,0.0714506676309655,8,0.007754438669390244
B1,93,-111.56312407,-111.56312407,0.04768481451083667,8,0.012168102906782203
B1,94,-111.56328877,-111.56328877,0.06785693293148536,5,0.003764333611027582
B1,95,-111.56550469,-111.56550469,0.046823871444154425,8,0.013195473685847737
B1,96,-111.56578239,-111.56578239,0.06899407651759533,7,0.005718585561639445
B1,97,-111.56754607,-111.56754607,0.04087079872682328,8,0.01506529370261146
B1,98,-111.56758148,-111.56758148,0.04783934236459778,4,0.002018632543612383
B1,99,-111.56864943,-111.56864943,0.035807236681973935,8,0.010678485906198324
B1,100,-111.56866041,-111.56866041,0.03741453639960143,3,0.0008794754736656174
