pilot,surface_id,face_id,side,setback_A,boundary_exclusion_A,requested_z_start_A,requested_z_end_A,automatic_status,status,reason,width_criterion,slope_criterion,residual_criterion,range_criterion,density_criterion,discontinuity_count,points,z_start_A,z_end_A,width_A,jump_threshold_eV,mean_potential_eV,slope_eV_per_A,detrended_max_residual_eV,potential_range_eV,mean_density_e_per_A3,maximum_abs_density_e_per_A3,density_status
A0,beta_001_t07,beta_001_t07_lower,lower,2,1.0,1.0,7.999986253348,NO_CONFIRMED_PLATEAU,CHARGE_IN_VACUUM_WARNING,"Failed screening criteria: slope, residual, range, density",True,False,False,False,False,0,103,1.0215228472222224,7.9678782083333335,6.946355361111111,0.1,3.537607299725279,-0.1666449521992483,0.05661641943554452,1.207591026836671,0.00018502529505412687,0.0035731315411559263,AVAILABLE
A0,beta_001_t07,beta_001_t07_upper,upper,2,1.0,21.419871746652,28.419858,NO_CONFIRMED_PLATEAU,CHARGE_IN_VACUUM_WARNING,"Failed screening criteria: slope, residual, range, density",True,False,False,False,False,0,103,21.451979791666666,28.39833515277778,6.946355361111113,0.1,5.006790540710731,-0.15996164374313823,0.06954241296292718,1.055744352681443,0.00022453972934279064,0.004265332288712062,AVAILABLE
A0,beta_001_t07,beta_001_t07_lower,lower,4,1.0,1.0,5.999986253348,NO_CONFIRMED_PLATEAU,NONFLAT_OR_TOO_SHORT,"Failed screening criteria: slope, range",True,False,True,False,True,0,74,1.0215228472222224,5.992934037037037,4.971411189814815,0.1,3.7030654881473466,-0.1637291137949627,0.000357731935173522,0.8140689965679231,1.2618532670452129e-06,9.973805987196486e-06,AVAILABLE
A0,beta_001_t07,beta_001_t07_upper,upper,4,1.0,23.419871746652,28.419858,NO_CONFIRMED_PLATEAU,CHARGE_IN_VACUUM_WARNING,"Failed screening criteria: slope, range, density",True,False,True,False,False,0,74,23.426923962962967,28.39833515277778,4.971411189814813,0.1,4.849878208576484,-0.16345196121438987,8.363620215323664e-05,0.8124612131514031,6.505104140253725e-07,1.2238154412846254e-05,AVAILABLE
A0,beta_001_t07,beta_001_t07_lower,lower,5,1.0,1.0,4.999986253348,NO_CONFIRMED_PLATEAU,NONFLAT_OR_TOO_SHORT,"Failed screening criteria: slope, range",True,False,True,False,True,0,59,1.0215228472222224,4.971411189814814,3.949888342592592,0.1,3.7867259090924295,-0.16365959597658056,0.00015686706821149698,0.6464439016971628,6.221486183392782e-07,9.753788437900738e-07,AVAILABLE
A0,beta_001_t07,beta_001_t07_upper,upper,5,1.0,24.419871746652,28.419858,NO_CONFIRMED_PLATEAU,NONFLAT_OR_TOO_SHORT,"Failed screening criteria: slope, range",True,False,True,False,True,0,59,24.44844681018519,28.39833515277778,3.9498883425925904,0.1,4.766383890951399,-0.16343564009479047,7.419905506278468e-05,0.6455829032227367,-2.2149774270530523e-07,4.3785109390388317e-07,AVAILABLE
A0,beta_001_t07,beta_001_t07_lower,lower,6,1.0,1.0,3.999986253348,NO_CONFIRMED_PLATEAU,NONFLAT_OR_TOO_SHORT,"Failed screening criteria: slope, range",True,False,True,False,True,0,44,1.0215228472222224,3.9498883425925926,2.92836549537037,0.1,3.8703366527957077,-0.16359953584021059,8.189213151954533e-05,0.4790693086736941,5.810131524317567e-07,6.882159235576561e-07,AVAILABLE
A0,beta_001_t07,beta_001_t07_upper,upper,6,1.0,25.419871746652,28.419858,NO_CONFIRMED_PLATEAU,NONFLAT_OR_TOO_SHORT,"Failed screening criteria: slope, range",True,False,True,False,True,0,44,25.469969657407407,28.39833515277778,2.9283654953703717,0.1,4.682897871341113,-0.16340665998300832,4.052708877200217e-05,0.4785441592628512,-2.1975367438574154e-07,4.3785109390388317e-07,AVAILABLE
A1,beta_001_t07,beta_001_t07_lower,lower,2,1.0,1.0,7.999986253348,NO_CONFIRMED_PLATEAU,CHARGE_IN_VACUUM_WARNING,"Failed screening criteria: residual, range, density",True,True,False,False,False,0,103,1.0215228472222224,7.9678782083333335,6.946355361111111,0.1,2.804484406617989,-0.004403325197369631,0.06761736847203181,0.08997657926447555,0.00020126753472065576,0.003713164516317977,AVAILABLE
A1,beta_001_t07,beta_001_t07_upper,upper,2,1.0,21.419871746652,28.419858,NO_CONFIRMED_PLATEAU,CHARGE_IN_VACUUM_WARNING,"Failed screening criteria: slope, residual, range, density",True,False,False,False,False,0,103,21.451979791666666,28.39833515277778,6.946355361111113,0.1,5.744338381579078,0.0058163138710006276,0.06348127702094519,0.09454431531253071,0.00021275836639749685,0.00410848851600204,AVAILABLE
